----------------------------------
-         PROCESS STARTS         -
----------------------------------
2024-03-17 19:29:19.991215

Timestamp	Actual Temperature	SetPoint	V1	V2	P1
2024-03-17 19:29:20.117632	0	0	0.01	0.01	0.01
2024-03-17 19:29:20.669372	16.97 	0.00 	7.1049	3.1559	0.01
2024-03-17 19:29:21.231072	16.94 	0.00 	6.5812	3.1547	0.01
2024-03-17 19:29:21.742754	16.94 	0.00 	6.3285	3.1547	13.0
2024-03-17 19:29:22.268147	17.09 	0.00 	5.791	3.1545	13.0
2024-03-17 19:29:22.791083	16.97 	0.00 	5.9187	3.1561	13.0
2024-03-17 19:29:23.312756	17.00 	0.00 	5.6649	3.1549	13.0
2024-03-17 19:29:23.899788	17.00 	0.00 	5.6649	3.1549	13.0
2024-03-17 19:29:24.407865	16.97 	0.00 	0.1033	3.1567	14.0
2024-03-17 19:29:24.921553	16.94 	0.00 	6.9795	3.1566	13.0
2024-03-17 19:29:25.435976	16.88 	0.00 	7.1049	3.1559	13.0
2024-03-17 19:29:25.951005	16.78 	0.00 	6.5812	3.1547	13.0
2024-03-17 19:29:26.473276	16.94 	0.00 	6.3285	3.1547	12.0
2024-03-17 19:29:26.988151	16.94 	0.00 	5.791	3.1545	13.0
2024-03-17 19:29:27.561940	17.12 	0.00 	5.9187	3.1561	13.0
2024-03-17 19:29:28.075113	17.06 	0.00 	5.6649	3.1549	13.0
2024-03-17 19:29:28.590431	17.06 	0.00 	1.2535	1.8126	12.0
2024-03-17 19:29:29.111376	16.97 	0.00 	2.5146	3.1508	13.0
2024-03-17 19:29:29.625884	17.03 	0.00 	2.2587	3.1479	13.0
2024-03-17 19:29:30.141563	16.88 	0.00 	1.7211	3.1482	13.0
2024-03-17 19:29:30.732905	17.06 	0.00 	1.1998	3.1486	13.0
2024-03-17 19:29:31.261133	17.12 	0.00 	0.9506	3.152	13.0
2024-03-17 19:29:31.781244	16.97 	0.00 	0.4098	3.1487	13.0
2024-03-17 19:29:32.333487	16.91 	0.00 	0.5348	3.1478	13.0
2024-03-17 19:29:32.886139	16.75 	0.00 	0.2816	3.1471	13.0
2024-03-17 19:29:33.406402	17.00 	0.00 	0.239	3.149	13.0
2024-03-17 19:29:33.932783	17.09 	0.00 	0.7756	3.1499	13.0
2024-03-17 19:29:34.467857	17.00 	0.00 	6.9742	3.1519	13.0
2024-03-17 19:29:35.058699	16.97 	0.00 	7.098	3.149	13.0
2024-03-17 19:29:35.572217	17.00 	0.00 	6.5741	3.1482	13.0
2024-03-17 19:29:36.109239	17.12 	0.00 	6.3209	3.1477	13.0
2024-03-17 19:29:36.632413	16.97 	0.00 	5.7838	3.1476	13.0
2024-03-17 19:29:37.156595	16.88 	0.00 	5.262	3.1472	13.0
2024-03-17 19:29:37.677665	16.97 	0.00 	5.0109	3.1493	13.0
2024-03-17 19:29:38.197599	16.94 	0.00 	5.1354	3.147	13.0
2024-03-17 19:29:38.722284	17.03 	0.00 	4.9144	3.1482	14.0
2024-03-17 19:29:39.291323	17.03 	0.00 	3.3016	3.1483	14.0
2024-03-17 19:29:39.810381	16.97 	0.00 	2.3883	3.1514	12.0
2024-03-17 19:29:40.335926	16.91 	0.00 	2.5133	3.1503	13.0
2024-03-17 19:29:40.872934	16.88 	0.00 	2.261	3.1506	13.0
2024-03-17 19:29:41.400663	17.09 	0.00 	1.7202	3.1471	13.0
2024-03-17 19:29:41.932862	17.06 	0.00 	1.1991	3.1483	13.0
2024-03-17 19:29:42.464279	16.88 	0.00 	0.947	3.15	13.0
2024-03-17 19:29:43.074106	16.97 	0.00 	1.0746	3.1504	13.0
2024-03-17 19:29:43.592009	17.12 	0.00 	0.5345	3.1476	13.0
2024-03-17 19:29:44.115852	17.00 	0.00 	0.2813	3.1469	13.0
2024-03-17 19:29:44.635050	17.03 	0.00 	0.2407	3.1465	13.0
2024-03-17 19:29:45.163688	16.94 	0.00 	0.1105	3.1506	13.0
2024-03-17 19:29:45.700662	16.91 	0.00 	6.9727	3.1506	13.0
2024-03-17 19:29:46.232779	17.09 	0.00 	7.0979	3.1498	13.0
2024-03-17 19:29:46.772474	17.21 	0.00 	6.5751	3.1486	13.0
2024-03-17 19:29:47.367378	17.00 	0.00 	6.3214	3.1482	13.0
2024-03-17 19:29:47.892523	16.97 	0.00 	5.7843	3.1486	12.0
2024-03-17 19:29:48.481428	17.03 	0.00 	5.9117	3.1493	13.0
2024-03-17 19:29:49.006076	17.12 	0.00 	5.6572	3.1478	13.0
---------------------------------
-         PROCESS ENDED         -
---------------------------------
2024-03-17 19:29:49.787087
