----------------------------------
-         PROCESS STARTS         -
----------------------------------
2024-03-17 19:33:15.547711

Timestamp	Actual Temperature	SetPoint	V1	V2	P1
2024-03-17 19:33:15.673502	0	0	0.01	0.01	0.01
2024-03-17 19:33:16.224096	17.03 	0.00 	0.01	0.01	0.01
2024-03-17 19:33:16.787127	17.06 	0.00 	1.0797	3.1544	0.01
2024-03-17 19:33:17.318749	17.09 	0.00 	0.5399	3.153	13.0
2024-03-17 19:33:17.832638	17.03 	0.00 	0.2889	3.1548	13.0
2024-03-17 19:33:18.347488	17.00 	0.00 	0.2328	3.1547	13.0
2024-03-17 19:33:18.873560	16.91 	0.00 	0.106	3.1549	13.0
2024-03-17 19:33:19.454358	17.00 	0.00 	6.9756	3.1539	13.0
2024-03-17 19:33:19.967237	17.09 	0.00 	7.1039	3.1554	13.0
2024-03-17 19:33:20.487251	16.94 	0.00 	6.5811	3.1545	13.0
2024-03-17 19:33:21.001563	17.00 	0.00 	1.2499	1.8093	13.0
2024-03-17 19:33:21.529744	16.88 	0.00 	2.5131	3.1495	13.0
2024-03-17 19:33:22.058291	17.03 	0.00 	2.2587	3.1484	13.0
2024-03-17 19:33:22.584222	16.88 	0.00 	1.7218	3.1488	13.0
2024-03-17 19:33:23.156559	16.91 	0.00 	1.2008	3.1488	13.0
2024-03-17 19:33:23.666165	17.12 	0.00 	0.9504	3.1521	13.0
2024-03-17 19:33:24.180592	17.06 	0.00 	0.4097	3.149	13.0
2024-03-17 19:33:24.705565	17.09 	0.00 	0.5375	3.1503	13.0
2024-03-17 19:33:25.237358	16.91 	0.00 	0.2872	3.1523	13.0
2024-03-17 19:33:25.760164	17.06 	0.00 	0.238	3.1492	13.0
2024-03-17 19:33:26.278717	16.91 	0.00 	0.7771	3.1479	13.0
2024-03-17 19:33:26.857916	16.97 	0.00 	6.9716	3.1499	13.0
2024-03-17 19:33:27.371234	17.03 	0.00 	7.0989	3.1503	13.0
2024-03-17 19:33:27.887774	16.91 	0.00 	6.5756	3.149	13.0
2024-03-17 19:33:28.419470	16.75 	0.00 	6.3212	3.1473	13.0
2024-03-17 19:33:28.942460	16.88 	0.00 	5.7848	3.1489	13.0
2024-03-17 19:33:29.460545	17.00 	0.00 	5.2616	3.1479	13.0
2024-03-17 19:33:29.991177	16.94 	0.00 	5.0104	3.1493	13.0
2024-03-17 19:33:30.562089	17.09 	0.00 	5.139	3.1517	13.0
2024-03-17 19:33:31.073707	17.09 	0.00 	4.9177	3.1515	13.0
2024-03-17 19:33:31.595430	17.03 	0.00 	3.3049	3.1515	13.0
2024-03-17 19:33:32.113105	16.88 	0.00 	2.3879	3.1511	13.0
2024-03-17 19:33:32.642759	16.91 	0.00 	2.5112	3.1472	13.0
