----------------------------------
-         PROCESS STARTS         -
----------------------------------
2024-03-17 19:15:57.287313

Timestamp	Actual Temperature	SetPoint	V1	V2	P1
2024-03-17 19:15:57.424328	0	0	0.01	0.01	0.01
2024-03-17 19:15:57.981111	17.24 	0.00 	0.5437	3.1561	0.01
2024-03-17 19:15:58.524982	17.03 	0.00 	0.2903	3.1558	0.01
2024-03-17 19:15:59.049890	16.97 	0.00 	0.2903	3.1558	14.0
2024-03-17 19:15:59.565017	16.97 	0.00 	2.5203	3.1567	13.0
2024-03-17 19:16:00.094423	17.33 	0.00 	2.2651	3.1547	13.0
2024-03-17 19:16:00.618712	17.03 	0.00 	1.7301	3.1566	13.0
2024-03-17 19:16:01.193721	17.09 	0.00 	1.2136	3.1625	13.0
2024-03-17 19:16:01.706819	17.03 	0.00 	0.959	3.1611	13.0
2024-03-17 19:16:02.234550	17.00 	0.00 	1.0814	3.1563	13.0
2024-03-17 19:16:02.761811	16.97 	0.00 	0.5437	3.1561	13.0
2024-03-17 19:16:03.289073	17.00 	0.00 	0.2903	3.1558	13.0
2024-03-17 19:16:03.818529	16.94 	0.00 	1.2552	1.8149	13.0
2024-03-17 19:16:04.343249	16.91 	0.00 	2.5242	3.1592	13.0
2024-03-17 19:16:04.892557	17.00 	0.00 	2.266	3.1549	13.0
2024-03-17 19:16:05.408624	17.09 	0.00 	1.7212	3.1487	13.0
2024-03-17 19:16:05.936793	17.09 	0.00 	1.2029	3.1521	13.0
2024-03-17 19:16:06.470275	16.94 	0.00 	0.9536	3.1554	13.0
2024-03-17 19:16:07.000722	17.06 	0.00 	0.4106	3.1493	13.0
2024-03-17 19:16:07.531802	17.06 	0.00 	0.5353	3.1482	13.0
2024-03-17 19:16:08.060024	17.21 	0.00 	0.2816	3.1473	13.0
2024-03-17 19:16:08.670316	17.15 	0.00 	0.239	3.1481	13.0
2024-03-17 19:16:09.185499	16.82 	0.00 	0.7739	3.1516	13.0
2024-03-17 19:16:09.716957	17.03 	0.00 	6.9773	3.155	13.0
2024-03-17 19:16:10.245614	17.03 	0.00 	7.1	3.151	13.0
2024-03-17 19:16:10.778643	17.12 	0.00 	6.5746	3.1477	13.0
2024-03-17 19:16:11.305776	17.00 	0.00 	6.3208	3.147	13.0
2024-03-17 19:16:11.816198	17.03 	0.00 	5.7845	3.1483	13.0
2024-03-17 19:16:12.348799	17.09 	0.00 	5.2615	3.1469	13.0
2024-03-17 19:16:12.927353	17.15 	0.00 	5.0092	3.1471	13.0
2024-03-17 19:16:13.441458	17.00 	0.00 	5.1383	3.1505	13.0
2024-03-17 19:16:13.973326	17.06 	0.00 	4.8878	3.1527	13.0
2024-03-17 19:16:14.506803	17.00 	0.00 	3.3064	3.1523	13.0
2024-03-17 19:16:15.037706	16.97 	0.00 	2.3883	3.1517	12.0
2024-03-17 19:16:15.549105	16.94 	0.00 	2.514	3.1509	12.0
2024-03-17 19:16:16.078448	16.85 	0.00 	2.2587	3.1481	13.0
2024-03-17 19:16:16.625514	17.06 	0.00 	1.7263	3.1533	13.0
2024-03-17 19:16:17.193047	16.91 	0.00 	1.2084	3.1581	13.0
2024-03-17 19:16:17.719524	16.97 	0.00 	0.9464	3.1484	13.0
2024-03-17 19:16:18.246700	16.91 	0.00 	1.0767	3.151	13.0
2024-03-17 19:16:18.780554	17.00 	0.00 	0.5365	3.1492	13.0
2024-03-17 19:16:19.308523	17.00 	0.00 	0.2826	3.1486	13.0
2024-03-17 19:16:19.837154	16.97 	0.00 	0.2405	3.1471	13.0
2024-03-17 19:16:20.376322	16.91 	0.00 	0.105	3.1554	13.0
2024-03-17 19:16:21.011363	17.12 	0.00 	6.9817	3.1592	13.0
2024-03-17 19:16:21.537498	17.06 	0.00 	7.0994	3.1515	13.0
2024-03-17 19:16:22.061057	17.12 	0.00 	6.5826	3.1555	13.0
2024-03-17 19:16:22.580227	16.94 	0.00 	6.3311	3.1565	14.0
2024-03-17 19:16:23.115381	17.00 	0.00 	5.7836	3.1473	14.0
2024-03-17 19:16:23.650576	16.88 	0.00 	5.9115	3.1484	13.0
2024-03-17 19:16:24.185336	17.09 	0.00 	5.6578	3.1483	13.0
2024-03-17 19:16:24.711784	16.91 	0.00 	5.1366	3.1487	13.0
2024-03-17 19:16:25.306245	16.91 	0.00 	4.9146	3.1478	13.0
2024-03-17 19:16:25.823708	17.03 	0.00 	3.3019	3.1479	13.0
2024-03-17 19:16:26.360249	17.03 	0.00 	2.385	3.1487	13.0
2024-03-17 19:16:26.876881	17.12 	0.00 	2.5209	3.1575	13.0
2024-03-17 19:16:27.407861	17.18 	0.00 	2.2661	3.1558	14.0
2024-03-17 19:16:27.942571	16.94 	0.00 	1.7277	3.1544	13.0
2024-03-17 19:16:28.473032	16.97 	0.00 	1.2001	3.1484	13.0
2024-03-17 19:16:29.009632	16.91 	0.00 	0.9464	3.1473	13.0
2024-03-17 19:16:29.584046	17.00 	0.00 	1.0717	3.1466	13.0
2024-03-17 19:16:30.118271	16.91 	0.00 	0.5348	3.1476	13.0
2024-03-17 19:16:30.650709	17.06 	0.00 	0.2856	3.1515	14.0
2024-03-17 19:16:31.186153	16.97 	0.00 	0.2307	3.157	13.0
2024-03-17 19:16:31.719048	16.97 	0.00 	0.1095	3.151	14.0
2024-03-17 19:16:32.256933	17.00 	0.00 	6.9775	3.1548	14.0
2024-03-17 19:16:32.794853	17.03 	0.00 	7.1011	3.1521	14.0
2024-03-17 19:16:33.329459	17.09 	0.00 	6.5757	3.1499	13.0
2024-03-17 19:16:33.904352	17.09 	0.00 	6.3206	3.1473	13.0
2024-03-17 19:16:34.453051	17.06 	0.00 	5.7841	3.1475	13.0
2024-03-17 19:16:34.987753	16.91 	0.00 	5.91	3.1471	13.0
2024-03-17 19:16:35.517354	16.97 	0.00 	5.6572	3.1478	13.0
2024-03-17 19:16:36.054386	16.97 	0.00 	5.1345	3.1469	13.0
2024-03-17 19:16:36.597271	16.91 	0.00 	4.9143	3.1479	13.0
2024-03-17 19:16:37.205433	17.00 	0.00 	3.3015	3.1478	13.0
2024-03-17 19:16:37.724644	17.03 	0.00 	2.3865	3.1494	13.0
2024-03-17 19:16:38.259914	17.00 	0.00 	2.5123	3.1489	13.0
2024-03-17 19:16:38.817332	17.09 	0.00 	2.2633	3.1527	13.0
2024-03-17 19:16:39.355415	17.03 	0.00 	1.7217	3.1486	14.0
2024-03-17 19:16:39.888786	17.09 	0.00 	1.2006	3.149	13.0
2024-03-17 19:16:40.423666	17.09 	0.00 	0.9471	3.1489	13.0
2024-03-17 19:16:40.957926	17.12 	0.00 	1.073	3.1488	13.0
2024-03-17 19:16:41.498461	17.03 	0.00 	0.535	3.1478	13.0
2024-03-17 19:16:42.038505	17.00 	0.00 	0.2825	3.1478	13.0
2024-03-17 19:16:42.579725	17.09 	0.00 	0.2397	3.1476	13.0
2024-03-17 19:16:43.188441	16.88 	0.00 	0.1082	3.1525	13.0
2024-03-17 19:16:43.723780	17.09 	0.00 	6.9797	3.1566	13.0
2024-03-17 19:16:44.244515	17.03 	0.00 	7.1084	3.1592	14.0
2024-03-17 19:16:44.762830	16.97 	0.00 	6.5818	3.1555	14.0
2024-03-17 19:16:45.318102	17.09 	0.00 	6.3235	3.1504	14.0
2024-03-17 19:16:45.855538	16.91 	0.00 	5.7837	3.1476	13.0
2024-03-17 19:16:46.397539	16.97 	0.00 	5.9167	3.1536	13.0
2024-03-17 19:16:46.941957	16.94 	0.00 	5.6613	3.1512	13.0
2024-03-17 19:16:47.464194	17.00 	0.00 	5.1359	3.1482	13.0
2024-03-17 19:16:48.048100	16.97 	0.00 	4.9141	3.1477	13.0
2024-03-17 19:16:48.587387	17.00 	0.00 	3.3011	3.1477	13.0
2024-03-17 19:16:49.124366	16.97 	0.00 	2.3839	3.1469	13.0
2024-03-17 19:16:49.668446	16.88 	0.00 	2.5133	3.1492	13.0
2024-03-17 19:16:50.189945	17.15 	0.00 	2.2605	3.15	13.0
2024-03-17 19:16:50.734631	17.03 	0.00 	1.726	3.1528	13.0
2024-03-17 19:16:51.269329	16.94 	0.00 	1.2018	3.1501	13.0
2024-03-17 19:16:51.806478	17.09 	0.00 	0.9464	3.1477	13.0
2024-03-17 19:16:52.425966	17.12 	0.00 	1.0721	3.1476	13.0
2024-03-17 19:16:52.966412	16.85 	0.00 	0.535	3.1482	13.0
2024-03-17 19:16:53.503731	16.94 	0.00 	0.2855	3.1512	13.0
2024-03-17 19:16:54.050692	17.18 	0.00 	0.234	3.1536	13.0
2024-03-17 19:16:54.588543	17.03 	0.00 	0.1136	3.1472	13.0
2024-03-17 19:16:55.126658	17.09 	0.00 	6.9695	3.1475	13.0
2024-03-17 19:16:55.651541	17.06 	0.00 	7.0972	3.1486	14.0
2024-03-17 19:16:56.188629	17.15 	0.00 	6.5785	3.1523	13.0
2024-03-17 19:16:56.728431	17.06 	0.00 	6.3242	3.1509	13.0
2024-03-17 19:16:57.295195	17.00 	0.00 	5.7844	3.1479	13.0
2024-03-17 19:16:57.835377	16.94 	0.00 	5.9093	3.1465	13.0
2024-03-17 19:16:58.386273	17.12 	0.00 	5.6573	3.1476	13.0
2024-03-17 19:16:58.925012	17.06 	0.00 	5.1354	3.1477	13.0
2024-03-17 19:16:59.464078	17.09 	0.00 	4.9147	3.1482	13.0
2024-03-17 19:17:00.013623	17.12 	0.00 	3.302	3.1482	13.0
2024-03-17 19:17:00.535991	17.00 	0.00 	2.3854	3.1494	13.0
2024-03-17 19:17:01.057370	17.09 	0.00 	2.5096	3.1466	13.0
2024-03-17 19:17:01.606768	16.94 	0.00 	2.2594	3.1493	13.0
2024-03-17 19:17:02.146879	17.06 	0.00 	1.7262	3.1523	13.0
2024-03-17 19:17:02.692656	17.09 	0.00 	1.2045	3.1532	13.0
2024-03-17 19:17:03.211487	17.09 	0.00 	0.948	3.1498	13.0
2024-03-17 19:17:03.741579	17.24 	0.00 	1.074	3.1494	13.0
2024-03-17 19:17:04.264467	17.09 	0.00 	0.5399	3.152	14.0
2024-03-17 19:17:04.813064	17.06 	0.00 	0.2847	3.1497	13.0
2024-03-17 19:17:05.356890	17.12 	0.00 	0.2371	3.15	14.0
2024-03-17 19:17:05.988847	17.00 	0.00 	0.104	3.1559	14.0
2024-03-17 19:17:06.512979	17.00 	0.00 	6.9792	3.1565	13.0
2024-03-17 19:17:07.054176	17.06 	0.00 	7.1	3.1511	13.0
2024-03-17 19:17:07.595129	17.12 	0.00 	6.5781	3.1512	13.0
2024-03-17 19:17:08.137483	16.88 	0.00 	6.3307	3.1566	13.0
2024-03-17 19:17:08.684417	17.03 	0.00 	5.7885	3.152	13.0
2024-03-17 19:17:09.225215	17.03 	0.00 	5.9127	3.1495	13.0
2024-03-17 19:17:09.770595	16.97 	0.00 	5.662	3.1523	13.0
2024-03-17 19:17:10.327614	17.09 	0.00 	5.1467	3.1582	13.0
2024-03-17 19:17:11.045487	16.91 	0.00 	4.8887	3.1534	13.0
