----------------------------------
-         PROCESS STARTS         -
----------------------------------
2024-03-16 12:59:29.292435

Timestamp	Actual Temperature	SetPoint	V1	V2	P1
2024-03-16 12:59:29.421008	0	0	0.01	0.01	0.01
2024-03-16 12:59:29.974986	17.76 	0.00 	5.6655	3.1576	0.01
2024-03-16 12:59:30.511437	17.49 	0.00 	5.6655	3.1576	0.01
2024-03-16 12:59:31.046154	17.36 	0.00 	0.1045	3.1581	18.0
2024-03-16 12:59:31.581209	17.79 	0.00 	6.9814	3.1615	17.0
2024-03-16 12:59:32.107717	17.52 	0.00 	7.1071	3.1598	18.0
2024-03-16 12:59:32.637916	17.43 	0.00 	6.5857	3.161	17.0
2024-03-16 12:59:33.210716	17.43 	0.00 	6.3301	3.1577	17.0
2024-03-16 12:59:33.727073	17.36 	0.00 	5.7924	3.1577	17.0
2024-03-16 12:59:34.255398	17.46 	0.00 	5.9188	3.1572	18.0
2024-03-16 12:59:34.787584	17.43 	0.00 	5.6655	3.1576	17.0
2024-03-16 12:59:35.313889	17.40 	0.00 	1.252	1.8132	17.0
2024-03-16 12:59:35.850910	17.49 	0.00 	2.5151	3.1534	18.0
2024-03-16 12:59:39.017887	Initializing SyringeBOT
2024-03-16 12:59:39.049739	17.46 	0.00 	2.2589	3.1508	17.0
2024-03-16 12:59:39.566321	17.46 	0.00 	1.722	3.1515	18.0
2024-03-16 12:59:40.102757	17.58 	0.00 	1.2012	3.1519	17.0
2024-03-16 12:59:40.630291	17.43 	0.00 	0.951	3.1544	17.0
2024-03-16 12:59:41.159016	17.49 	0.00 	0.4105	3.1519	18.0
2024-03-16 12:59:41.688151	17.58 	0.00 	0.5367	3.151	17.0
2024-03-16 12:59:42.213483	17.46 	0.00 	0.283	3.1504	18.0
2024-03-16 12:59:42.732828	17.52 	0.00 	0.2372	3.1522	17.0
2024-03-16 12:59:43.271468	17.58 	0.00 	0.7606	3.1656	17.0
2024-03-16 12:59:43.809939	17.49 	0.00 	6.9941	3.1732	17.0
2024-03-16 12:59:44.347226	17.46 	0.00 	7.1174	3.1699	17.0
2024-03-16 12:59:44.883841	17.58 	0.00 	6.5964	3.1709	18.0
2024-03-16 12:59:45.413369	17.52 	0.00 	6.342	3.1704	17.0
2024-03-16 12:59:45.944597	17.46 	0.00 	5.7996	3.1649	17.0
2024-03-16 12:59:46.479019	17.49 	0.00 	5.9124	3.1515	17.0
2024-03-16 12:59:47.010077	17.52 	0.00 	5.0101	3.1499	17.0
2024-03-16 12:59:47.547620	17.52 	0.00 	5.1356	3.1495	17.0
2024-03-16 12:59:48.085015	17.58 	0.00 	4.9155	3.1512	17.0
2024-03-16 12:59:48.622237	17.33 	0.00 	3.3029	3.1514	17.0
2024-03-16 12:59:49.153251	17.55 	0.00 	2.3877	3.1525	17.0
2024-03-16 12:59:49.684761	17.43 	0.00 	2.5183	3.1567	17.0
2024-03-16 12:59:50.199324	17.49 	0.00 	2.2655	3.1566	17.0
2024-03-16 12:59:50.722260	17.46 	0.00 	1.7219	3.1508	17.0
2024-03-16 12:59:51.241211	17.64 	0.00 	1.1997	3.151	18.0
2024-03-16 12:59:51.776703	17.58 	0.00 	0.9467	3.1509	17.0
2024-03-16 12:59:52.312763	17.55 	0.00 	1.0736	3.1517	17.0
2024-03-16 12:59:52.831338	17.46 	0.00 	0.5364	3.1509	18.0
2024-03-16 12:59:53.369993	17.46 	0.00 	0.283	3.1512	17.0
2024-03-16 12:59:53.900554	17.21 	0.00 	0.2402	3.1499	17.0
2024-03-16 12:59:54.440107	17.61 	0.00 	0.1111	3.1517	17.0
2024-03-16 12:59:54.958272	17.52 	0.00 	6.9722	3.1517	18.0
2024-03-16 12:59:55.491000	17.58 	0.00 	7.0997	3.1526	18.0
2024-03-16 12:59:56.038188	17.58 	0.00 	6.5764	3.1516	18.0
