----------------------------------
-         PROCESS STARTS         -
----------------------------------
2024-03-17 19:51:24.024487

Timestamp	Actual Temperature	SetPoint	V1	V2	P1
2024-03-17 19:51:24.146447	0	0	0.01	0.01	0.01
2024-03-17 19:51:24.693095	16.97 	0.00 	0.01	0.01	0.01
2024-03-17 19:51:25.256193	16.85 	0.00 	0.2333	3.1544	0.01
2024-03-17 19:51:25.768100	16.75 	0.00 	0.106	3.1549	13.0
2024-03-17 19:51:26.293926	16.97 	0.00 	6.9766	3.1545	13.0
2024-03-17 19:51:26.804152	17.03 	0.00 	7.1073	3.1591	13.0
2024-03-17 19:51:27.357053	16.94 	0.00 	6.5824	3.1554	13.0
2024-03-17 19:51:27.872525	16.91 	0.00 	6.3284	3.1545	13.0
2024-03-17 19:51:28.387736	16.88 	0.00 	5.7908	3.155	13.0
2024-03-17 19:51:28.976746	16.88 	0.00 	12.0
2024-03-17 19:51:29.488197	16.88 	0.00 	0.2333	3.1544	13.0
2024-03-17 19:51:30.003432	16.91 	0.00 	0.106	3.1549	13.0
2024-03-17 19:51:30.511821	17.00 	0.00 	6.9766	3.1545	13.0
2024-03-17 19:51:31.064604	17.00 	0.00 	7.1073	3.1591	13.0
2024-03-17 19:51:31.576722	17.00 	0.00 	6.5824	3.1554	13.0
2024-03-17 19:51:32.089198	16.91 	0.00 	6.3284	3.1545	13.0
2024-03-17 19:51:32.601154	16.94 	0.00 	5.7908	3.155	13.0
2024-03-17 19:51:33.209565	16.94 	0.00 	13.0
2024-03-17 19:51:33.718200	17.03 	0.00 	2.5112	3.1486	13.0
2024-03-17 19:51:34.234914	16.85 	0.00 	2.261	3.1517	13.0
2024-03-17 19:51:34.764169	16.94 	0.00 	1.7258	3.1526	13.0
2024-03-17 19:51:35.370073	17.03 	0.00 	1.1992	3.1477	13.0
2024-03-17 19:51:35.880264	16.97 	0.00 	0.9468	3.1489	13.0
2024-03-17 19:51:36.405112	16.94 	0.00 	0.4089	3.1476	13.0
2024-03-17 19:51:36.937005	17.06 	0.00 	0.5356	3.1486	13.0
2024-03-17 19:51:37.454051	17.03 	0.00 	0.2822	3.1482	13.0
2024-03-17 19:51:37.976077	17.06 	0.00 	0.2406	3.1483	13.0
2024-03-17 19:51:38.508000	16.85 	0.00 	0.7788	3.146	13.0
2024-03-17 19:51:39.045247	16.97 	0.00 	6.9698	3.147	13.0
2024-03-17 19:51:39.571767	17.00 	0.00 	7.0966	3.1481	13.0
2024-03-17 19:51:40.093139	16.88 	0.00 	6.5776	3.1512	13.0
2024-03-17 19:51:40.617412	16.91 	0.00 	6.3252	3.1519	13.0
2024-03-17 19:51:41.139816	17.00 	0.00 	5.7881	3.1514	13.0
2024-03-17 19:51:41.666132	16.91 	0.00 	5.2621	3.1472	13.0
2024-03-17 19:51:42.191771	16.97 	0.00 	5.0085	3.1475	13.0
2024-03-17 19:51:42.764515	17.00 	0.00 	5.1367	3.1494	13.0
2024-03-17 19:51:43.289324	16.94 	0.00 	4.9177	3.1512	13.0
2024-03-17 19:51:43.817183	16.85 	0.00 	3.3048	3.1511	13.0
2024-03-17 19:51:44.328497	16.91 	0.00 	2.387	3.1505	13.0
2024-03-17 19:51:44.857487	17.12 	0.00 	2.5103	3.1472	13.0
2024-03-17 19:51:45.384827	16.85 	0.00 	2.2588	3.149	13.0
