----------------------------------
-         PROCESS STARTS         -
----------------------------------
2024-03-16 18:47:27.854243

Timestamp	Actual Temperature	SetPoint	V1	V2	P1
2024-03-16 18:47:27.981027	0	0	0.01	0.01	0.01
2024-03-16 18:47:28.534870	17.70 	0.00 	0.2302	3.1567	0.01
2024-03-16 18:47:29.071503	17.76 	0.00 	0.1056	3.155	0.01
2024-03-16 18:47:29.587462	17.55 	0.00 	0.1056	3.155	13.0
2024-03-16 18:47:30.111953	17.70 	0.00 	1.7294	3.1567	13.0
2024-03-16 18:47:30.631123	17.79 	0.00 	1.205	3.1541	12.0
2024-03-16 18:47:31.168381	17.64 	0.00 	0.9532	3.155	13.0
2024-03-16 18:47:31.745944	17.52 	0.00 	1.0825	3.1575	13.0
2024-03-16 18:47:32.264187	17.55 	0.00 	0.5481	3.1595	13.0
2024-03-16 18:47:32.795600	17.61 	0.00 	0.2954	3.16	12.0
2024-03-16 18:47:33.315777	17.43 	0.00 	0.2302	3.1567	13.0
2024-03-16 18:47:33.853330	17.61 	0.00 	0.1056	3.155	13.0
2024-03-16 18:47:34.381873	17.64 	0.00 	1.2512	1.811	13.0
2024-03-16 18:47:34.906406	17.76 	0.00 	2.5138	3.1501	13.0
2024-03-16 18:47:35.519261	17.76 	0.00 	2.2601	3.149	13.0
2024-03-16 18:47:36.033823	17.52 	0.00 	1.7244	3.1503	13.0
2024-03-16 18:47:36.564286	17.52 	0.00 	1.2053	3.1533	13.0
2024-03-16 18:47:37.089879	17.76 	0.00 	0.9517	3.1536	13.0
2024-03-16 18:47:37.615237	17.61 	0.00 	0.4099	3.1494	13.0
2024-03-16 18:47:38.127453	17.67 	0.00 	0.5366	3.1497	13.0
2024-03-16 18:47:38.671894	17.70 	0.00 	0.283	3.1487	13.0
2024-03-16 18:47:39.212472	17.52 	0.00 	0.2386	3.1492	13.0
2024-03-16 18:47:39.807662	17.58 	0.00 	0.7773	3.1479	13.0
2024-03-16 18:47:40.327871	17.61 	0.00 	6.9738	3.1515	13.0
2024-03-16 18:47:40.860762	17.79 	0.00 	7.1018	3.1528	13.0
2024-03-16 18:47:41.399581	17.67 	0.00 	6.5792	3.1522	12.0
2024-03-16 18:47:41.927074	17.58 	0.00 	6.326	3.153	13.0
2024-03-16 18:47:42.455241	17.61 	0.00 	5.7865	3.1501	13.0
2024-03-16 18:47:42.990208	17.70 	0.00 	5.2656	3.151	13.0
2024-03-16 18:47:43.517038	17.73 	0.00 	5.011	3.1495	13.0
2024-03-16 18:47:44.092650	17.67 	0.00 	5.1357	3.1475	13.0
2024-03-16 18:47:44.611410	17.64 	0.00 	4.9174	3.1509	13.0
2024-03-16 18:47:45.137561	17.73 	0.00 	3.3047	3.151	13.0
2024-03-16 18:47:45.668638	17.58 	0.00 	2.3915	3.1542	13.0
2024-03-16 18:47:46.198598	17.61 	0.00 	2.5123	3.1486	13.0
2024-03-16 18:47:46.729608	17.61 	0.00 	2.2593	3.1492	13.0
2024-03-16 18:47:47.256888	17.58 	0.00 	1.7218	3.149	13.0
2024-03-16 18:47:47.873044	17.43 	0.00 	1.2047	3.153	13.0
2024-03-16 18:47:48.389343	17.67 	0.00 	0.9487	3.1504	13.0
2024-03-16 18:47:48.921218	17.73 	0.00 	1.0732	3.1482	13.0
2024-03-16 18:47:49.453099	17.58 	0.00 	0.5378	3.1508	13.0
2024-03-16 18:47:49.980061	17.58 	0.00 	0.2856	3.1512	13.0
2024-03-16 18:47:50.516468	17.61 	0.00 	0.2397	3.1472	13.0
2024-03-16 18:47:51.048422	17.70 	0.00 	0.1129	3.1479	13.0
2024-03-16 18:47:51.577926	17.64 	0.00 	6.97	3.1479	13.0
2024-03-16 18:47:52.161670	17.73 	0.00 	7.0973	3.1482	13.0
2024-03-16 18:47:52.680154	17.46 	0.00 	6.5746	3.1478	12.0
2024-03-16 18:47:53.225464	17.52 	0.00 	6.3271	3.1528	13.0
2024-03-16 18:47:53.757978	17.58 	0.00 	5.7888	3.1521	13.0
2024-03-16 18:47:54.290699	17.61 	0.00 	5.9119	3.1487	13.0
2024-03-16 18:47:54.823247	17.46 	0.00 	5.6581	3.1479	13.0
2024-03-16 18:47:55.354267	17.46 	0.00 	5.1373	3.1486	13.0
2024-03-16 18:47:55.881788	17.52 	0.00 	4.9147	3.1473	13.0
2024-03-16 18:47:56.467340	17.61 	0.00 	3.302	3.1475	13.0
2024-03-16 18:47:56.984887	17.73 	0.00 	2.3838	3.1461	13.0
2024-03-16 18:47:57.510974	17.52 	0.00 	2.5121	3.1482	13.0
2024-03-16 18:47:58.043749	17.64 	0.00 	2.2609	3.1499	13.0
2024-03-16 18:47:58.576885	17.61 	0.00 	1.7249	3.1512	13.0
2024-03-16 18:47:59.121022	17.67 	0.00 	1.2001	3.1494	13.0
2024-03-16 18:47:59.657256	17.55 	0.00 	0.9495	3.1521	12.0
2024-03-16 18:48:00.194597	17.55 	0.00 	1.0736	3.1488	13.0
2024-03-16 18:48:00.792798	17.67 	0.00 	0.537	3.1498	13.0
2024-03-16 18:48:01.308196	17.64 	0.00 	0.2833	3.1487	13.0
2024-03-16 18:48:01.841504	17.55 	0.00 	0.238	3.1492	13.0
2024-03-16 18:48:02.377170	17.64 	0.00 	0.1086	3.1516	13.0
2024-03-16 18:48:02.911522	17.55 	0.00 	6.9761	3.1533	13.0
2024-03-16 18:48:03.451091	17.61 	0.00 	7.1006	3.1515	13.0
2024-03-16 18:48:03.980821	17.67 	0.00 	6.5778	3.1504	12.0
2024-03-16 18:48:04.516713	17.61 	0.00 	6.3229	3.1493	13.0
2024-03-16 18:48:05.103061	17.70 	0.00 	5.7858	3.1498	13.0
2024-03-16 18:48:05.630562	17.76 	0.00 	5.9113	3.1479	13.0
2024-03-16 18:48:06.163410	17.88 	0.00 	5.6606	3.1509	13.0
2024-03-16 18:48:06.701523	17.73 	0.00 	5.1411	3.1526	13.0
2024-03-16 18:48:07.235601	17.73 	0.00 	4.918	3.1512	13.0
2024-03-16 18:48:07.787227	17.70 	0.00 	3.3052	3.1512	13.0
2024-03-16 18:48:08.318689	17.52 	0.00 	2.3871	3.1506	13.0
2024-03-16 18:48:08.851158	17.70 	0.00 	2.512	3.1488	12.0
2024-03-16 18:48:09.386062	17.49 	0.00 	2.2623	3.1522	13.0
2024-03-16 18:48:09.971107	17.61 	0.00 	1.7235	3.1505	13.0
2024-03-16 18:48:10.490942	17.76 	0.00 	1.2001	3.1492	13.0
2024-03-16 18:48:11.027625	17.49 	0.00 	0.9475	3.149	13.0
2024-03-16 18:48:11.558832	17.49 	0.00 	1.078	3.153	13.0
2024-03-16 18:48:12.091647	17.70 	0.00 	0.5365	3.1497	13.0
2024-03-16 18:48:12.632144	17.52 	0.00 	0.2828	3.1486	13.0
