----------------------------------
-         PROCESS STARTS         -
----------------------------------
2024-03-18 15:29:05.157185

Timestamp	Actual Temperature	SetPoint	V1	V2	P1
2024-03-18 15:29:05.277369	0	0	0.01	0.01	0.01
2024-03-18 15:29:05.822309	19.35 	0.00 	2.2686	3.16	0.01
2024-03-18 15:29:06.389002	19.23 	0.00 	1.7301	3.1589	0.01
2024-03-18 15:29:10.280582	Initializing SyringeBOT
2024-03-18 15:29:10.320445	19.17 	0.00 	1.2102	3.1603	15.0
2024-03-18 15:29:10.822049	Processing progress: 4.3478260869565215 %
2024-03-18 15:29:10.845760	19.32 	0.00 	0.9556	3.1591	14.0
2024-03-18 15:29:11.346894	Processing progress: 6.521739130434782 %
2024-03-18 15:29:11.365202	19.50 	0.00 	0.9556	3.1591	16.0
2024-03-18 15:29:11.887724	19.50 	0.00 	4.8937	3.1602	15.0
2024-03-18 15:29:12.406986	19.50 	0.00 	3.3125	3.1602	15.0
2024-03-18 15:29:12.927795	19.50 	0.00 	2.3966	3.1611	15.0
2024-03-18 15:29:13.443096	19.50 	0.00 	2.5214	3.1603	16.0
2024-03-18 15:29:13.960235	19.50 	0.00 	2.2686	3.16	15.0
2024-03-18 15:29:14.480416	19.50 	0.00 	1.7301	3.1589	14.0
2024-03-18 15:29:14.997030	19.50 	0.00 	1.2102	3.1603	16.0
2024-03-18 15:29:15.519401	19.50 	0.00 	0.9556	3.1591	12.0
2024-03-18 15:29:16.044813	19.50 	0.00 	1.2545	1.8153	14.0
2024-03-18 15:29:16.567892	19.50 	0.00 	2.536	3.1743	16.0
2024-03-18 15:29:17.091700	19.50 	0.00 	2.2874	3.177	13.0
2024-03-18 15:29:17.609268	19.50 	0.00 	1.7493	3.1764	14.0
2024-03-18 15:29:18.126964	19.50 	0.00 	1.2278	3.1771	14.0
2024-03-18 15:29:18.650793	19.50 	0.00 	0.9769	3.1783	13.0
2024-03-18 15:29:19.169777	19.50 	0.00 	0.4388	3.1786	16.0
2024-03-18 15:29:19.694836	19.50 	0.00 	0.5538	3.1681	16.0
2024-03-18 15:29:20.213471	19.50 	0.00 	0.2917	3.1589	16.0
2024-03-18 15:29:20.738247	19.50 	0.00 	0.2306	3.1582	13.0
2024-03-18 15:29:21.261964	19.50 	0.00 	0.7715	3.1552	15.0
2024-03-18 15:29:21.786037	19.50 	0.00 	6.9735	3.153	16.0
2024-03-18 15:29:22.304313	19.50 	0.00 	7.0994	3.1523	15.0
2024-03-18 15:29:22.817339	19.50 	0.00 	6.5784	3.1541	14.0
2024-03-18 15:29:23.328936	19.50 	0.00 	6.3243	3.1534	14.0
2024-03-18 15:29:23.858612	19.50 	0.00 	5.7881	3.1541	14.0
2024-03-18 15:29:24.382343	19.50 	0.00 	5.265	3.1521	15.0
2024-03-18 15:29:24.907336	19.50 	0.00 	5.0126	3.1534	15.0
2024-03-18 15:29:25.431824	19.50 	0.00 	5.1401	3.1538	13.0
2024-03-18 15:29:25.952297	19.50 	0.00 	4.9222	3.1569	13.0
2024-03-18 15:29:26.473647	19.50 	0.00 	3.3096	3.157	15.0
2024-03-18 15:29:26.999393	19.50 	0.00 	2.3945	3.1583	12.0
2024-03-18 15:29:27.520472	19.50 	0.00 	2.5145	3.153	16.0
2024-03-18 15:29:28.043898	19.50 	0.00 	2.2618	3.1523	13.0
2024-03-18 15:29:28.557588	19.50 	0.00 	1.7231	3.151	14.0
2024-03-18 15:29:29.079901	19.50 	0.00 	1.203	3.1533	16.0
2024-03-18 15:29:29.601513	19.50 	0.00 	0.9495	3.1526	15.0
2024-03-18 15:29:30.124684	19.50 	0.00 	1.0767	3.1526	12.0
2024-03-18 15:29:30.737015	19.50 	0.00 	0.5376	3.1526	12.0
2024-03-18 15:29:31.250808	19.50 	0.00 	0.2866	3.1539	15.0
2024-03-18 15:29:31.778794	19.50 	0.00 	0.2318	3.1566	14.0
2024-03-18 15:29:32.302576	19.50 	0.00 	0.1041	3.1583	13.0
2024-03-18 15:29:32.831510	19.50 	0.00 	6.9746	3.1543	15.0
2024-03-18 15:29:33.355881	19.50 	0.00 	7.1	3.1533	15.0
2024-03-18 15:29:33.880152	19.50 	0.00 	6.577	3.1519	14.0
