----------------------------------
-         PROCESS STARTS         -
----------------------------------
2024-03-18 18:00:52.773874

Timestamp	Actual Temperature	SetPoint	V1	V2	P1
2024-03-18 18:00:53.071898	24.14 	0.00 	817.0	3.1594	764.0
2024-03-18 18:00:53.625822	24.02 	0.00 	0.3291	3.1602	764.0
2024-03-18 18:00:54.159892	24.20 	0.00 	0.1917	3.1614	764.0
2024-03-18 18:00:54.728255	24.17 	0.00 	0.1917	3.1614	764.0
2024-03-18 18:00:55.288926	24.11 	0.00 	2.3074	3.1635	764.0
2024-03-18 18:00:55.852779	24.14 	0.00 	1.7677	3.1613	764.0
2024-03-18 18:00:56.423225	24.11 	0.00 	1.2491	3.1639	764.0
2024-03-18 18:00:56.972242	24.23 	0.00 	1.0017	3.1688	764.0
2024-03-18 18:00:57.550124	24.17 	0.00 	1.121	3.1613	764.0
2024-03-18 18:00:58.085776	24.05 	0.00 	0.5817	3.1594	764.0
2024-03-18 18:00:58.647908	24.02 	0.00 	0.3291	3.1602	764.0
2024-03-18 18:00:59.186877	24.08 	0.00 	0.1917	3.1614	764.0
2024-03-18 18:00:59.747862	24.14 	0.00 	0.1917	3.1614	764.0
2024-03-18 18:01:00.334301	24.02 	0.00 	2.3074	3.1635	764.0
2024-03-18 18:01:00.872625	24.08 	0.00 	1.7677	3.1613	764.0
2024-03-18 18:01:01.444237	24.17 	0.00 	1.2491	3.1639	764.0
2024-03-18 18:01:01.992409	24.05 	0.00 	1.0017	3.1688	764.0
2024-03-18 18:01:02.571332	24.02 	0.00 	1.121	3.1613	764.0
2024-03-18 18:01:03.108919	24.05 	0.00 	0.5817	3.1594	764.0
2024-03-18 18:01:03.686209	24.02 	0.00 	0.3291	3.1602	764.0
2024-03-18 18:01:04.223932	24.14 	0.00 	0.1917	3.1614	764.0
2024-03-18 18:01:04.798605	24.02 	0.00 	1.2717	1.8124	764.0
2024-03-18 18:01:05.342566	24.05 	0.00 	2.5519	3.1542	764.0
2024-03-18 18:01:05.922460	24.17 	0.00 	2.2979	3.1531	764.0
2024-03-18 18:01:06.463021	23.99 	0.00 	1.7605	3.153	764.0
2024-03-18 18:01:07.040714	24.11 	0.00 	1.2388	3.153	764.0
2024-03-18 18:01:07.580619	24.23 	0.00 	0.986	3.1537	764.0
2024-03-18 18:01:08.161102	24.05 	0.00 	0.4476	3.1534	764.0
2024-03-18 18:01:08.709056	24.05 	0.00 	0.5795	3.1581	764.0
2024-03-18 18:01:09.280398	24.14 	0.00 	0.3264	3.1581	764.0
2024-03-18 18:01:09.818842	24.05 	0.00 	0.1962	3.1566	764.0
2024-03-18 18:01:10.383923	24.08 	0.00 	0.7378	3.1539	764.0
2024-03-18 18:01:10.923569	24.08 	0.00 	7.0092	3.1547	764.0
2024-03-18 18:01:11.494258	23.83 	0.00 	7.1345	3.1531	764.0
2024-03-18 18:01:12.032938	24.11 	0.00 	6.6149	3.1544	764.0
