----------------------------------
-         PROCESS STARTS         -
----------------------------------
2025-07-25 07:19:15.705786

Timestamp	Actual Temperature	SetPoint	T	pH	ORP
2025-07-25 07:19:15.807768	0	0	0	0.0	0.0
2025-07-25 07:19:16.309774	0.0	0.0	0.0	0.0	0.0
2025-07-25 07:19:16.820156	0.0	0.0	0.0	9.93	3.5
2025-07-25 07:19:17.361259	0.0	0.0	0.0	9.94	3.4935
2025-07-25 07:19:17.894873	0.0	0.0	0.0	9.89	3.502
2025-07-25 07:19:18.404905	0.0	0.0	0.0	9.91	3.4963
2025-07-25 07:19:18.920088	0.0	0.0	0.0	9.88	3.4974
2025-07-25 07:19:19.438531	0.0	0.0	0.0	9.9	3.4944
2025-07-25 07:19:19.965048	0.0	0.0	0.0	9.91	3.498
2025-07-25 07:19:20.486253	0.0	0.0	0.0	9.93	3.4977
2025-07-25 07:19:21.004466	0.0	0.0	0.0	9.93	3.4977
2025-07-25 07:19:21.525392	0.0	0.0	0.0	9.93	3.5
2025-07-25 07:19:22.050852	0.0	0.0	0.0	9.94	3.4935
2025-07-25 07:19:22.564108	0.0	0.0	0.0	9.89	3.502
2025-07-25 07:19:23.086981	0.0	0.0	0.0	9.91	3.4963
2025-07-25 07:19:23.629768	0.0	0.0	0.0	9.88	3.4974
2025-07-25 07:19:24.143011	0.0	0.0	0.0	9.9	3.4944
2025-07-25 07:19:24.669206	0.0	0.0	0.0	9.91	3.498
2025-07-25 07:19:25.183419	0.0	0.0	0.0	9.93	3.4977
2025-07-25 07:19:25.710820	0.0	0.0	0.0	9.93	3.4977
2025-07-25 07:19:26.235175	0.0	0.0	0.0	9.93	3.4977
2025-07-25 07:19:26.914705	0.0	0.0	0.0	9.9	3.4965
2025-07-25 07:19:27.428483	0.0	0.0	0.0	9.91	3.4982
2025-07-25 07:19:27.967887	0.0	0.0	0.0	9.96	3.4919
2025-07-25 07:19:28.493926	0.0	0.0	0.0	9.89	3.4969
2025-07-25 07:19:29.029039	0.0	0.0	0.0	9.94	3.4927
2025-07-25 07:19:29.557586	0.0	0.0	0.0	9.97	3.4952
2025-07-25 07:19:30.076217	0.0	0.0	0.0	9.97	3.4913
2025-07-25 07:19:30.624936	0.0	0.0	0.0	9.99	3.4943
2025-07-25 07:19:31.165948	0.0	0.0	0.0	9.99	3.4919
2025-07-25 07:19:31.705413	0.0	0.0	0.0	9.93	3.5005
2025-07-25 07:19:32.234179	0.0	0.0	0.0	9.92	3.4978
2025-07-25 07:19:32.789965	0.0	0.0	0.0	9.95	3.4965
2025-07-25 07:19:33.325302	0.0	0.0	0.0	9.96	3.4906
2025-07-25 07:19:33.872066	0.0	0.0	0.0	9.91	3.4937
2025-07-25 07:19:34.440652	0.0	0.0	0.0	9.95	3.4927
2025-07-25 07:19:35.048089	0.0	0.0	0.0	9.95	3.4958
2025-07-25 07:19:35.572172	0.0	0.0	0.0	9.92	3.4939
2025-07-25 07:19:36.122648	0.0	0.0	0.0	9.94	3.498
2025-07-25 07:19:36.709598	0.0	0.0	0.0	9.96	3.4957
2025-07-25 07:19:37.227209	0.0	0.0	0.0	9.96	3.4921
2025-07-25 07:19:37.858212	0.0	0.0	0.0	9.96	3.4921
2025-07-25 07:19:38.381888	0.0	0.0	0.0	9.96	3.4941
2025-07-25 07:19:38.910806	0.0	0.0	0.0	9.96	3.4941
2025-07-25 07:19:39.452187	0.0	0.0	0.0	9.93	3.4994
2025-07-25 07:19:39.979772	0.0	0.0	0.0	9.93	3.4994
2025-07-25 07:19:40.523341	0.0	0.0	0.0	9.95	3.4949
2025-07-25 07:19:41.051683	0.0	0.0	0.0	9.95	3.4949
2025-07-25 07:19:41.619589	0.0	0.0	0.0	9.94	3.4977
2025-07-25 07:19:42.191662	0.0	0.0	0.0	9.96	3.4923
2025-07-25 07:19:42.744251	0.0	0.0	0.0	9.96	3.4923
2025-07-25 07:19:43.391130	0.0	0.0	0.0	9.94	3.4996
2025-07-25 07:19:43.943968	0.0	0.0	0.0	9.94	3.4996
2025-07-25 07:19:44.507905	0.0	0.0	0.0	9.97	3.4982
2025-07-25 07:19:44.636804	added bicarbonate
2025-07-25 07:19:45.047289	0.0	0.0	0.0	9.97	3.4982
2025-07-25 07:19:45.607534	0.0	0.0	0.0	9.92	3.5015
2025-07-25 07:19:46.128032	0.0	0.0	0.0	9.92	3.5015
2025-07-25 07:19:46.680096	0.0	0.0	0.0	9.99	3.4934
2025-07-25 07:19:47.216280	0.0	0.0	0.0	9.97	3.4956
2025-07-25 07:19:47.742052	0.0	0.0	0.0	9.97	3.4956
2025-07-25 07:19:48.292303	0.0	0.0	0.0	10.01	3.4922
2025-07-25 07:19:48.845153	0.0	0.0	0.0	10.01	3.4922
2025-07-25 07:19:49.366923	0.0	0.0	0.0	9.94	3.4963
2025-07-25 07:19:49.972361	0.0	0.0	0.0	9.94	3.4963
2025-07-25 07:19:50.511386	0.0	0.0	0.0	9.94	3.4957
2025-07-25 07:19:51.012666	0.0	0.0	0.0	9.94	3.4957
2025-07-25 07:19:51.515824	0.0	0.0	0.0	9.91	3.499
2025-07-25 07:19:52.033463	0.0	0.0	0.0	9.91	3.499
2025-07-25 07:19:52.551934	0.0	0.0	0.0	10.02	3.4911
2025-07-25 07:19:53.066087	0.0	0.0	0.0	10.02	3.4911
2025-07-25 07:19:53.585417	0.0	0.0	0.0	9.97	3.4945
2025-07-25 07:19:54.112104	0.0	0.0	0.0	9.97	3.4945
2025-07-25 07:19:54.637243	0.0	0.0	0.0	9.95	3.4979
2025-07-25 07:19:55.168508	0.0	0.0	0.0	9.95	3.4979
2025-07-25 07:19:55.701216	0.0	0.0	0.0	10.0	3.4928
2025-07-25 07:19:56.239420	0.0	0.0	0.0	9.97	3.4901
2025-07-25 07:19:56.764927	0.0	0.0	0.0	9.97	3.4901
2025-07-25 07:19:57.297527	0.0	0.0	0.0	9.94	3.493
2025-07-25 07:19:57.824612	0.0	0.0	0.0	9.94	3.493
2025-07-25 07:19:58.364091	0.0	0.0	0.0	9.98	3.4893
2025-07-25 07:19:58.894642	0.0	0.0	0.0	9.98	3.4893
2025-07-25 07:19:59.427507	0.0	0.0	0.0	9.97	3.4939
2025-07-25 07:19:59.961631	0.0	0.0	0.0	9.97	3.4939
2025-07-25 07:20:00.506157	0.0	0.0	0.0	9.97	3.4913
2025-07-25 07:20:01.041242	0.0	0.0	0.0	9.97	3.4913
2025-07-25 07:20:01.560681	0.0	0.0	0.0	9.92	3.4983
2025-07-25 07:20:02.070448	0.0	0.0	0.0	9.92	3.4983
2025-07-25 07:20:02.597545	0.0	0.0	0.0	9.98	3.4926
2025-07-25 07:20:03.109315	0.0	0.0	0.0	9.98	3.4926
2025-07-25 07:20:03.651975	0.0	0.0	0.0	9.99	3.4949
2025-07-25 07:20:04.190324	0.0	0.0	0.0	9.99	3.4949
2025-07-25 07:20:04.707864	0.0	0.0	0.0	10.01	3.4913
2025-07-25 07:20:05.253206	0.0	0.0	0.0	10.01	3.4933
2025-07-25 07:20:05.771054	0.0	0.0	0.0	10.01	3.4933
2025-07-25 07:20:06.297172	0.0	0.0	0.0	9.98	3.4944
2025-07-25 07:20:06.805706	0.0	0.0	0.0	9.98	3.4944
2025-07-25 07:20:07.338977	0.0	0.0	0.0	9.94	3.502
2025-07-25 07:20:07.862837	0.0	0.0	0.0	9.94	3.502
2025-07-25 07:20:08.413781	0.0	0.0	0.0	9.97	3.491
2025-07-25 07:20:08.976703	0.0	0.0	0.0	9.97	3.491
2025-07-25 07:20:09.506035	0.0	0.0	0.0	9.95	3.4979
2025-07-25 07:20:10.062901	0.0	0.0	0.0	9.95	3.4979
2025-07-25 07:20:10.582801	0.0	0.0	0.0	10.0	3.4907
2025-07-25 07:20:11.135598	0.0	0.0	0.0	10.0	3.4907
2025-07-25 07:20:11.679587	0.0	0.0	0.0	9.97	3.4949
2025-07-25 07:20:12.213754	0.0	0.0	0.0	9.97	3.4949
2025-07-25 07:20:12.754479	0.0	0.0	0.0	10.02	3.4921
2025-07-25 07:20:13.362036	0.0	0.0	0.0	9.97	3.4968
2025-07-25 07:20:13.895044	0.0	0.0	0.0	9.97	3.4968
2025-07-25 07:20:14.461258	0.0	0.0	0.0	9.98	3.4919
2025-07-25 07:20:15.081810	0.0	0.0	0.0	9.98	3.4919
2025-07-25 07:20:15.609432	0.0	0.0	0.0	9.97	3.4982
2025-07-25 07:20:16.165609	0.0	0.0	0.0	9.97	3.4982
2025-07-25 07:20:16.690791	0.0	0.0	0.0	9.99	3.4928
2025-07-25 07:20:17.221104	0.0	0.0	0.0	9.99	3.4928
2025-07-25 07:20:17.784827	0.0	0.0	0.0	9.99	3.4921
2025-07-25 07:20:18.310834	0.0	0.0	0.0	9.98	3.4905
2025-07-25 07:20:18.871679	0.0	0.0	0.0	9.98	3.4905
2025-07-25 07:20:19.381850	0.0	0.0	0.0	9.96	3.4948
2025-07-25 07:20:19.932884	0.0	0.0	0.0	9.96	3.4948
2025-07-25 07:20:20.469801	0.0	0.0	0.0	9.96	3.4917
2025-07-25 07:20:21.005143	0.0	0.0	0.0	9.96	3.4917
2025-07-25 07:20:21.640974	0.0	0.0	0.0	9.95	3.5002
2025-07-25 07:20:22.172321	0.0	0.0	0.0	9.95	3.5002
2025-07-25 07:20:22.716292	0.0	0.0	0.0	9.99	3.4928
2025-07-25 07:20:23.285514	0.0	0.0	0.0	9.97	3.4952
2025-07-25 07:20:23.836530	0.0	0.0	0.0	9.97	3.4952
2025-07-25 07:20:24.480557	0.0	0.0	0.0	10.01	3.4916
2025-07-25 07:20:25.036983	0.0	0.0	0.0	10.01	3.4916
2025-07-25 07:20:25.587399	0.0	0.0	0.0	9.95	3.4982
2025-07-25 07:20:26.122488	0.0	0.0	0.0	9.95	3.4982
2025-07-25 07:20:26.678217	0.0	0.0	0.0	10.01	3.4933
2025-07-25 07:20:27.322621	0.0	0.0	0.0	9.98	3.4968
2025-07-25 07:20:27.860984	0.0	0.0	0.0	9.98	3.4968
2025-07-25 07:20:28.390873	0.0	0.0	0.0	9.98	3.4913
2025-07-25 07:20:28.941907	0.0	0.0	0.0	9.98	3.4913
2025-07-25 07:20:29.581405	0.0	0.0	0.0	9.94	3.4996
2025-07-25 07:20:30.109974	0.0	0.0	0.0	9.94	3.4996
2025-07-25 07:20:30.674305	0.0	0.0	0.0	9.98	3.493
2025-07-25 07:20:31.212402	0.0	0.0	0.0	9.98	3.493
2025-07-25 07:20:31.795161	0.0	0.0	0.0	9.94	3.4963
2025-07-25 07:20:32.436149	0.0	0.0	0.0	10.01	3.4941
2025-07-25 07:20:32.985908	0.0	0.0	0.0	10.01	3.4941
2025-07-25 07:20:33.519858	0.0	0.0	0.0	9.98	3.4989
2025-07-25 07:20:34.071877	0.0	0.0	0.0	9.98	3.4989
2025-07-25 07:20:34.635827	0.0	0.0	0.0	10.0	3.4938
2025-07-25 07:20:35.182847	0.0	0.0	0.0	10.0	3.4938
2025-07-25 07:20:35.725699	0.0	0.0	0.0	9.95	3.4985
2025-07-25 07:20:36.293018	0.0	0.0	0.0	10.02	3.4904
2025-07-25 07:20:36.853650	0.0	0.0	0.0	10.02	3.4904
2025-07-25 07:20:37.364996	0.0	0.0	0.0	9.95	3.4944
2025-07-25 07:20:37.935696	0.0	0.0	0.0	9.95	3.4944
2025-07-25 07:20:38.476687	0.0	0.0	0.0	9.99	3.4952
2025-07-25 07:20:39.152236	0.0	0.0	0.0	9.99	3.4952
2025-07-25 07:20:39.697294	0.0	0.0	0.0	9.93	3.5009
2025-07-25 07:20:40.247111	0.0	0.0	0.0	9.93	3.5009
2025-07-25 07:20:40.802212	0.0	0.0	0.0	9.99	3.4948
2025-07-25 07:20:41.368206	0.0	0.0	0.0	9.93	3.5007
2025-07-25 07:20:41.907934	0.0	0.0	0.0	9.93	3.5007
2025-07-25 07:20:42.471092	0.0	0.0	0.0	10.0	3.4935
2025-07-25 07:20:43.022543	0.0	0.0	0.0	10.0	3.4935
2025-07-25 07:20:43.572860	0.0	0.0	0.0	10.01	3.4972
2025-07-25 07:20:44.119354	0.0	0.0	0.0	10.01	3.4972
2025-07-25 07:20:44.696869	0.0	0.0	0.0	10.0	3.4966
2025-07-25 07:20:45.450089	added bicarbonate
2025-07-25 07:20:45.465890	0.0	0.0	0.0	9.94	3.5078
2025-07-25 07:20:46.117702	0.0	0.0	0.0	9.94	3.5078
2025-07-25 07:20:46.842765	0.0	0.0	0.0	9.93	3.5033
2025-07-25 07:20:47.378170	0.0	0.0	0.0	9.98	3.4948
2025-07-25 07:20:48.089236	0.0	0.0	0.0	9.98	3.4948
2025-07-25 07:20:48.635309	0.0	0.0	0.0	9.96	3.4967
2025-07-25 07:20:49.164345	0.0	0.0	0.0	9.96	3.4967
2025-07-25 07:20:49.741867	0.0	0.0	0.0	9.99	3.4961
2025-07-25 07:20:50.253021	0.0	0.0	0.0	9.99	3.4961
2025-07-25 07:20:50.803436	0.0	0.0	0.0	10.04	3.4912
2025-07-25 07:20:51.320843	0.0	0.0	0.0	10.02	3.4955
2025-07-25 07:20:51.876738	0.0	0.0	0.0	10.02	3.4955
2025-07-25 07:20:52.427092	0.0	0.0	0.0	10.01	3.4954
2025-07-25 07:20:53.000408	0.0	0.0	0.0	10.01	3.4954
2025-07-25 07:20:53.727564	0.0	0.0	0.0	9.95	3.5042
2025-07-25 07:20:54.302374	0.0	0.0	0.0	9.95	3.5042
2025-07-25 07:20:54.824222	0.0	0.0	0.0	9.99	3.4939
2025-07-25 07:20:55.401847	0.0	0.0	0.0	10.01	3.4958
2025-07-25 07:20:55.939960	0.0	0.0	0.0	10.01	3.4958
2025-07-25 07:20:56.687764	0.0	0.0	0.0	9.96	3.4984
2025-07-25 07:20:57.240456	0.0	0.0	0.0	9.96	3.4984
2025-07-25 07:20:57.829509	0.0	0.0	0.0	9.96	3.4976
2025-07-25 07:20:58.368627	0.0	0.0	0.0	9.98	3.494
2025-07-25 07:20:59.121658	0.0	0.0	0.0	9.98	3.494
2025-07-25 07:20:59.687380	0.0	0.0	0.0	9.94	3.5022
2025-07-25 07:21:00.272197	0.0	0.0	0.0	9.94	3.5022
2025-07-25 07:21:00.885572	0.0	0.0	0.0	9.98	3.4956
2025-07-25 07:21:01.463323	0.0	0.0	0.0	10.0	3.4948
2025-07-25 07:21:01.994911	0.0	0.0	0.0	10.0	3.4948
2025-07-25 07:21:02.591854	0.0	0.0	0.0	10.03	3.4963
2025-07-25 07:21:03.150088	0.0	0.0	0.0	10.03	3.4963
2025-07-25 07:21:03.889421	0.0	0.0	0.0	9.95	3.4989
2025-07-25 07:21:04.418137	0.0	0.0	0.0	9.97	3.4978
2025-07-25 07:21:05.000117	0.0	0.0	0.0	9.97	3.4978
2025-07-25 07:21:05.541858	0.0	0.0	0.0	9.95	3.4994
2025-07-25 07:21:06.110939	0.0	0.0	0.0	9.95	3.4994
2025-07-25 07:21:06.692539	0.0	0.0	0.0	9.96	3.4982
2025-07-25 07:21:07.273950	0.0	0.0	0.0	9.96	3.4982
2025-07-25 07:21:07.835383	0.0	0.0	0.0	9.96	3.4998
2025-07-25 07:21:08.426632	0.0	0.0	0.0	9.96	3.4935
2025-07-25 07:21:09.207645	0.0	0.0	0.0	9.96	3.4935
2025-07-25 07:21:09.777147	0.0	0.0	0.0	9.93	3.5017
2025-07-25 07:21:10.333986	0.0	0.0	0.0	9.93	3.5017
2025-07-25 07:21:10.942376	0.0	0.0	0.0	10.0	3.4937
2025-07-25 07:21:11.476353	0.0	0.0	0.0	9.96	3.4962
2025-07-25 07:21:12.076687	0.0	0.0	0.0	9.96	3.4962
2025-07-25 07:21:12.865306	0.0	0.0	0.0	9.94	3.5023
2025-07-25 07:21:13.458067	0.0	0.0	0.0	9.96	3.5
2025-07-25 07:21:14.059046	0.0	0.0	0.0	9.96	3.5
2025-07-25 07:21:14.634841	0.0	0.0	0.0	9.95	3.4968
2025-07-25 07:21:15.193669	0.0	0.0	0.0	9.95	3.4968
2025-07-25 07:21:15.757924	0.0	0.0	0.0	9.92	3.5
2025-07-25 07:21:16.325509	0.0	0.0	0.0	9.92	3.5
2025-07-25 07:21:16.838711	0.0	0.0	0.0	9.97	3.4927
2025-07-25 07:21:17.418300	0.0	0.0	0.0	9.96	3.4948
2025-07-25 07:21:18.008085	0.0	0.0	0.0	9.96	3.4948
2025-07-25 07:21:18.571447	0.0	0.0	0.0	9.95	3.5023
2025-07-25 07:21:19.124971	0.0	0.0	0.0	9.95	3.5023
2025-07-25 07:21:19.687910	0.0	0.0	0.0	9.96	3.5009
2025-07-25 07:21:20.288005	0.0	0.0	0.0	9.96	3.5009
2025-07-25 07:21:20.874119	0.0	0.0	0.0	10.0	3.4976
2025-07-25 07:21:21.450423	0.0	0.0	0.0	9.97	3.4978
2025-07-25 07:21:21.997242	0.0	0.0	0.0	9.97	3.4978
2025-07-25 07:21:22.547639	0.0	0.0	0.0	9.99	3.4932
2025-07-25 07:21:23.141864	0.0	0.0	0.0	9.99	3.4932
2025-07-25 07:21:23.762444	0.0	0.0	0.0	9.92	3.5049
2025-07-25 07:21:24.360842	0.0	0.0	0.0	9.92	3.5049
2025-07-25 07:21:24.923296	0.0	0.0	0.0	9.97	3.4948
2025-07-25 07:21:25.504482	0.0	0.0	0.0	9.92	3.4971
2025-07-25 07:21:26.047794	0.0	0.0	0.0	9.92	3.4971
2025-07-25 07:21:26.637616	0.0	0.0	0.0	9.92	3.4949
2025-07-25 07:21:27.169667	0.0	0.0	0.0	9.92	3.4949
2025-07-25 07:21:28.017202	0.0	0.0	0.0	9.92	3.4996
2025-07-25 07:21:28.628777	0.0	0.0	0.0	9.95	3.4976
2025-07-25 07:21:29.187891	0.0	0.0	0.0	9.95	3.4976
2025-07-25 07:21:29.782860	0.0	0.0	0.0	9.97	3.5011
2025-07-25 07:21:30.295720	0.0	0.0	0.0	9.97	3.5011
2025-07-25 07:21:30.898046	0.0	0.0	0.0	10.01	3.4928
2025-07-25 07:21:31.469539	0.0	0.0	0.0	9.96	3.5005
