0	0	0
124.8	-2	0
249.6	1	0
374.4	-3	1
499.2	5	0
624	-6	0
748.8	10	0
873.6	-11	0
998.4	17	0
1123.2	-21	0
1248	28	0
1372.8	-35	-1
1497.6	44	0
1622.4	-55	-1
1747.2	67	1
1872	-83	-1
1996.8	101	2
2121.6	-122	-1
2246.4	146	3
2371.2	-174	-3
2496	208	4
2620.8	-244	-5
2745.6	288	5
2870.4	-336	-7
2995.2	392	8
3120	-454	-10
3244.8	525	11
3369.6	-605	-14
3494.4	693	16
3619.2	-793	-18
3744	903	22
3868.8	-1027	-24
3993.6	1163	29
4118.4	-1314	-32
4243.2	1481	37
4368	-1664	-42
4492.8	1866	47
4617.6	-2087	-54
4742.4	2330	60
4867.2	-2595	-68
4992	2884	76
5116.8	-3200	-85
5241.6	3543	95
5366.4	-3917	-106
5491.2	4323	118
5616	-4764	-130
5740.8	5243	145
5865.6	-5763	-160
5990.4	6326	176
6115.2	-6937	-194
6240	7601	213
6364.8	-8321	-234
6489.6	9104	256
6614.4	-9956	-281
6739.2	10885	307
6864	-11899	-336
6988.8	13009	367
7113.6	-14229	-401
7238.4	15573	438
7363.2	-17061	-477
7488	18719	521
7612.8	-20575	-568
7737.6	22670	620
7862.4	-25055	-677
7987.2	27799	739
8112	-30996	-807
8236.8	34776	882
8361.6	-39329	-962
8486.4	44936	1048
8611.2	-52039	-1135
8736	61364	1213
8860.8	-74205	-1255
8985.6	93095	1186
9110.4	-123728	-768
9235.2	181988	-917
9360	-333679	9093
9484.8	1.83402e+06	-106325
9609.6	3.42604e+06	-1.45638e+06
9734.4	1.57088e+06	-2.55247e+06
9859.2	337629	-2.76255e+06
9984	-1.13459e+06	-2.34032e+06
10108.8	-1.70336e+06	-1.54748e+06
10233.6	-2.09206e+06	-701339
10358.4	-1.88958e+06	112396
10483.2	-1.65306e+06	849304
10608	-1.01032e+06	1.48146e+06
10732.8	-328451	1.85813e+06
10857.6	572111	1.84154e+06
10982.4	1.2174e+06	1.3689e+06
11107.2	1.64446e+06	571655
11232	1.55554e+06	-314295
11356.8	1.20392e+06	-1.02723e+06
11481.6	569662	-1.41862e+06
11606.4	-28136	-1.44572e+06
11731.2	-612836	-1.16862e+06
11856	-972789	-675315
11980.8	-1.16845e+06	-86131
12105.6	-1.05658e+06	471645
12230.4	-756249	861773
12355.2	-266634	998391
12480	190382	873330
12604.8	564512	574127
12729.6	723197	224089
12854.4	742890	-73234
12979.2	616301	-285617
13104	440315	-428832
13228.8	182430	-527934
13353.6	-101245	-566010
13478.4	-405640	-499028
13603.2	-606904	-297710
13728	-651292	-2620
13852.8	-486792	287165
13977.6	-209710	466472
14102.4	82816	493170
14227.2	270716	398978
14352	348696	250630
14476.8	335513	94260
14601.6	292329	-59274
14726.4	218890	-210063
14851.2	116743	-332439
14976	-25099	-376717
15100.8	-160560	-306923
15225.6	-243456	-142042
15350.4	-235761	44947
15475.2	-166375	172377
15600	-86075	205256
15724.8	-42294	172215
15849.6	-23716	130865
15974.4	8122	111994
16099.2	86205	99245
16224	186285	52860
16348.8	247401	-40702
16473.6	212155	-147180
16598.4	82839	-206571
16723.2	-80729	-181805
16848	-196720	-87305
16972.8	-217944	21704
17097.6	-152778	89604
17222.4	-52617	95469
17347.2	28420	60651
17472	62966	25691
17596.8	59771	18373
17721.6	44593	36768
17846.4	38025	55214
17971.2	41805	47761
18096	45379	7400
18220.8	36951	-50268
18345.6	13522	-97917
18470.4	-18534	-112834
18595.2	-47995	-86752
18720	-64290	-28693
18844.8	-61195	39333
18969.6	-39217	90600
19094.4	-6610	105433
19219.2	24173	79488
19344	41371	26095
19468.8	39553	-29454
19593.6	23642	-62267
19718.4	5651	-59850
19843.2	-1987	-29008
19968	4505	8035
20092.8	16832	27068
20217.6	18575	17669
20342.4	-378	-9333
20467.2	-33962	-30209
20592	-60916	-26844
20716.8	-59480	-297
20841.6	-24649	30658
20966.4	26224	44657
21091.2	64448	33278
21216	68538	5803
21340.8	38120	-19226
21465.6	-7070	-27489
21590.4	-40670	-18792
21715.2	-46360	-3834
21840	-26225	4103
21964.8	3142	176
22089.6	22322	-9588
22214.4	22409	-14262
22339.2	7392	-6770
22464	-10372	10555
22588.8	-18841	27173
22713.6	-13781	31562
22838.4	37	18920
22963.2	12274	-4924
23088	15359	-26519
23212.8	9542	-32626
23337.6	1777	-20422
23462.4	-1067	929
23587.2	1032	16514
23712	1739	17585
23836.8	-4746	7432
23961.6	-15441	-2762
24086.4	-20614	-4784
24211.2	-12491	-216
24336	5942	3079
24460.8	22619	408
24585.6	25440	-5546
24710.4	12600	-7072
24835.2	-5751	-558
24960	-17078	9563
25084.8	-14961	13846
25209.6	-4180	6458
25334.4	5071	-8536
25459.2	6281	-20056
25584	1273	-18743
25708.8	-3246	-5052
25833.6	-2410	11878
25958.4	1511	21085
26083.2	4598	18259
26208	3366	7002
26332.8	-753	-5571
26457.6	-3857	-13530
26582.4	-3823	-15065
26707.2	-1144	-10673
26832	2025	-2559
26956.8	3883	6069
27081.6	4046	11884
27206.4	2962	12108
27331.2	600	6012
27456	-2901	-3323
27580.8	-7057	-10923
27705.6	-9382	-11754
27830.4	-7059	-4780
27955.2	914	5604
28080	11411	11850
28204.8	17309	9064
28329.6	13355	-414
28454.4	-642	-9166
28579.2	-16087	-9771
28704	-22024	-2061
28828.8	-13516	7270
28953.6	4407	9268
29078.4	18818	1915
29203.2	19637	-8601
29328	6536	-12433
29452.8	-9758	-4802
29577.6	-16964	8870
29702.4	-10618	17089
29827.2	2368	12218
29952	10864	-2743
30076.8	8752	-16136
30201.6	-382	-17460
30326.4	-6856	-6170
30451.2	-4986	8275
30576	2454	15027
30700.8	7513	10225
30825.6	4717	-334
30950.4	-3398	-7817
31075.2	-9657	-7575
31200	-8204	-2261
31324.8	-209	2285
31449.6	8004	2661
31574.4	10082	-72
31699.2	5293	-1654
31824	-2288	-89
31948.8	-6743	3234
32073.6	-6052	4537
32198.4	-2002	1781
32323.2	1430	-3064
32448	2455	-6187
32572.8	1717	-5080
32697.6	1194	-589
32822.4	1551	3705
32947.2	1410	5050
33072	-25	3342
33196.8	-2430	654
33321.6	-3990	-1229
33446.4	-2912	-1733
33571.2	336	-1896
33696	3576	-2290
33820.8	4252	-2510
33945.6	1795	-1161
34070.4	-1682	2011
34195.2	-3041	5210
34320	-1486	5525
34444.8	918	1749
34569.6	1730	-3904
34694.4	-128	-7547
34819.2	-2719	-5774
34944	-2956	-10
35068.8	163	5686
35193.6	4326	6822
35318.4	5737	3131
35443.2	2522	-2384
35568	-3243	-5179
35692.8	-7067	-3523
35817.6	-5800	383
35942.4	-339	3074
36067.2	5362	2336
36192	6923	-561
36316.8	3816	-2806
36441.6	-1386	-1958
36566.4	-4860	990
36691.2	-4520	3177
36816	-1461	2623
36940.8	1312	-176
37065.6	2305	-2874
37190.4	1534	-3357
37315.2	663	-1372
37440	314	1228
37564.8	450	2455
37689.6	43	1948
37814.4	-1101	581
37939.2	-1942	-412
38064	-1582	-900
38188.8	-230	-880
38313.6	1477	-910
38438.4	2272	-987
38563.2	1381	-615
38688	-232	639
38812.8	-1408	1929
38937.6	-1414	2382
39062.4	-536	1238
39187.2	307	-733
39312	409	-2454
39436.8	-15	-2513
39561.6	-95	-1127
39686.4	278	930
39811.2	857	2111
39936	945	1773
40060.8	244	599
40185.6	-1009	-658
40310.4	-1802	-1110
40435.2	-1576	-763
40560	-120	-210
40684.8	1322	12
40809.6	1832	-324
40934.4	1053	-199
41059.2	-374	524
41184	-1149	1235
41308.8	-1129	1425
41433.6	-189	536
41558.4	559	-785
41683.2	609	-1958
41808	1	-1797
41932.8	-355	-433
42057.6	-160	1223
42182.4	519	1985
42307.2	858	1456
42432	504	138
42556.8	-420	-1191
42681.6	-1313	-1462
42806.4	-1365	-735
42931.2	-559	96
43056	737	821
43180.8	1608	777
43305.6	1475	347
43430.4	559	-174
43555.2	-654	-449
43680	-1461	-335
43804.8	-1475	101
43929.6	-686	254
